,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,YOB,Item_Outlet_Sales
84,FDU58,6.61,Regular,0.028987582,Snack Foods,188.6898,OUT013,1987,High,Tier 3,Supermarket Type1,32,3068.365345
85,FDY27,6.38,Low Fat,0.032078604,Dairy,177.6344,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2029.131553
86,FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1768.599346
87,FDT59,13.65,Low Fat,0.015911432,Breads,230.5668,OUT046,1997,Small,Tier 1,Supermarket Type1,22,4347.849082
88,FDB23,19.2,Regular,0.005588601,Starchy Foods,225.5062,OUT046,1997,Small,Tier 1,Supermarket Type1,22,3629.75198
89,FDR49,8.71,Low Fat,0.139510771,Canned,46.2376,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,769.775764
90,FDB03,17.75,Regular,0.262504325,Dairy,242.2538,OUT010,1998,Medium,Tier 3,Grocery Store,21,622.144496
91,FDN39,19.35,Regular,0,Meat,165.7816,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2760.323731
92,FDX02,12.5,Low Fat,0.056783774,Dairy,223.1404,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,5209.491609
93,FDQ16,12.5,Low Fat,0.041536279,Frozen Foods,107.7912,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2647.602068
94,FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,1627.805476
95,NCT29,12.6,Low Fat,0.064057374,Health and Hygiene,122.1414,OUT013,1987,High,Tier 3,Supermarket Type1,32,1839.140738
96,FDZ27,7.935,Low Fat,0.017156262,Dairy,48.135,OUT046,1997,Small,Tier 1,Supermarket Type1,22,860.0883633
97,FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2275.112363
98,FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2032.678363
99,FDZ36,6.035,Regular,0.065917194,Baking Goods,185.724,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,3378.535115
100,NCU05,11.8,Low Fat,0.058687359,Health and Hygiene,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,32,1293.012491
101,FDT39,6.26,Regular,0.009908113,Meat,151.1366,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2207.468519
102,FDK60,16.5,Regular,0.094395215,Baking Goods,97.2068,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1646.65199
103,FDZ25,15.7,Regular,0.02777326,Canned,169.279,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,3115.500076
104,FDG12,6.635,Regular,0.006326106,Baking Goods,122.1098,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2438.83736
105,DRB01,12.5,Low Fat,0.143990546,Soft Drinks,191.553,OUT019,1985,Small,Tier 1,Grocery Store,34,503.8757199
106,NCC43,12.5,Low Fat,0.09233359,Household,250.6066,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,5157.413838
107,FDX13,12.5,Low Fat,0.083661793,Canned,248.6092,OUT019,1985,Small,Tier 1,Grocery Store,34,672.4498344
108,FDM22,14,Regular,0.042022999,Snack Foods,53.064,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,946.0973167
109,FDJ03,12.5,Regular,0.072044336,Dairy,48.8692,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,1742.162391
110,FDU14,17.75,Low Fat,0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,3828.05708
111,FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,OUT010,1998,Medium,Tier 3,Grocery Store,21,412.2031234
112,FDP27,8.155,Low Fat,0.119450639,Meat,190.653,OUT046,1997,Small,Tier 1,Supermarket Type1,22,3475.366415
113,FDO38,17.25,Low Fat,0.121917641,Canned,76.6986,OUT010,1998,Medium,Tier 3,Grocery Store,21,188.0282139
114,FDE28,12.5,Regular,0.131905128,Frozen Foods,232.0668,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,5340.81377
115,FDO27,6.175,Regular,0.179043614,Meat,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1647.802884
116,DRL23,12.5,Low Fat,0.0152302,Hard Drinks,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2480.337464
117,FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588,OUT046,1997,Small,Tier 1,Supermarket Type1,22,963.7596041
118,FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.5462,OUT013,1987,High,Tier 3,Supermarket Type1,32,1273.484627
119,FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1352.186624
120,FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1574.196068
121,FDS60,12.5,Low Fat,0.03229139,Baking Goods,178.766,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,4344.795648
122,NCO06,19.25,Low Fat,0.108641498,Household,33.0558,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,640.3223742
123,FDO16,5.48,Low Fat,0.015105338,Frozen Foods,84.625,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1725.095147
124,FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1724.345542
125,FDA48,12.1,Low Fat,0.115342009,Baking Goods,220.2114,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,3407.033057
126,FDZ36,12.5,Regular,0,Baking Goods,186.424,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,4347.911255
127,FDK27,11,Low Fat,0.00896468,Meat,120.6756,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1871.889087
128,FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,751.7667922
129,FDM14,13.8,Low Fat,0.013318,Canned,110.1254,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,1532.989973
130,FDM14,13.8,Low Fat,0.01325293,Canned,108.2254,OUT013,1987,High,Tier 3,Supermarket Type1,32,1711.380753
131,FDW60,5.44,Regular,0.017131453,Baking Goods,177.837,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2706.398537
132,FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,High,Tier 3,Supermarket Type1,32,2007.029372
133,NCM42,6.13,Low Fat,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1963.888399
134,FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.9462,OUT010,1998,Medium,Tier 3,Grocery Store,21,172.918208
135,DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1433.579264
136,FDT28,12.5,Low Fat,0.111296158,Frozen Foods,151.2708,OUT019,1985,Small,Tier 1,Grocery Store,34,340.2505241
137,FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,665.412571
138,FDR60,14.3,Low Fat,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1140.045746
139,FDC50,12.5,Low Fat,0.238990225,Canned,94.7094,OUT019,1985,Small,Tier 1,Grocery Store,34,342.2332109
140,FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.805,OUT013,1987,High,Tier 3,Supermarket Type1,32,2571.51595
141,DRF48,5.73,Low Fat,0,Soft Drinks,188.3898,OUT010,1998,Medium,Tier 3,Grocery Store,21,584.0684368
142,FDQ47,7.155,Regular,0.168186376,Breads,36.5874,OUT046,1997,Small,Tier 1,Supermarket Type1,22,903.381883
143,DRN36,15.2,Low Fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1776.109181
144,NCY06,15.25,Low Fat,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2075.377943
145,FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1416.774463
146,NCB54,8.76,Low Fat,0.050154219,Health and Hygiene,126.9336,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1752.052903
147,NCF31,9.13,Low Fat,0.051837621,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2456.344547
148,FDJ08,12.5,Low Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,4893.788952
149,NCC07,19.6,Low Fat,0.024086626,Household,106.0964,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1639.735577
150,NCD19,12.5,Low Fat,0.013115567,Household,53.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,1869.851432
151,FDL46,20.35,Low Fat,0,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1922.944344
152,FDM20,10,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,4355.774967
153,NCI06,11.3,Low Fat,0.07986963,Household,180.466,OUT010,1998,Medium,Tier 3,Grocery Store,21,433.3177942
154,DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.3278,OUT035,2004,Small,Tier 2,Supermarket Type1,15,3940.845162
155,NCH07,13.15,Low Fat,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2305.215876
156,FDS23,4.635,Low Fat,0.140771867,Breads,129.4994,OUT013,1987,High,Tier 3,Supermarket Type1,32,2060.058399
157,FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,755.3028183
158,FDS35,9.3,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1058.653476
159,DRK39,7.02,Low Fat,0.049966527,Dairy,82.525,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1362.481919
160,DRI39,13.8,Low Fat,0.097212998,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,890.4036546
161,FDV04,7.825,Regular,0.150863781,Frozen Foods,158.0288,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1879.185839
162,NCN14,19.1,Low Fat,0.091900406,Others,182.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2821.743608
163,FDH08,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,High,Tier 3,Supermarket Type1,32,3920.239407
164,FDS20,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Small,Tier 1,Supermarket Type1,22,3203.19505
165,FDV40,17.35,Low Fat,0.014714625,Frozen Foods,75.4038,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1124.118578
166,FDZ48,17.75,Low Fat,0.127140836,Baking Goods,110.5544,OUT010,1998,Medium,Tier 3,Grocery Store,21,201.840419
167,FDS24,12.5,Regular,0.061923154,Baking Goods,87.5514,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2420.71433
168,FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,2343.562013
169,FDS48,15.15,Low Fat,0,Baking Goods,150.4708,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2325.521361
170,FDK26,5.46,Regular,0.053858378,Canned,186.924,OUT010,1998,Medium,Tier 3,Grocery Store,21,486.6543869
171,FDD23,9.5,Regular,0.048784266,Starchy Foods,188.5898,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,3441.515672
172,NCH54,13.5,Low Fat,0.073080167,Household,161.492,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2829.582844
173,NCP14,8.275,Low Fat,0.184602443,Household,106.5306,OUT010,1998,Medium,Tier 3,Grocery Store,21,241.8233509
174,FDM60,10.8,Regular,0.080582001,Baking Goods,39.4138,OUT010,1998,Medium,Tier 3,Grocery Store,21,132.8685938
175,FDV24,5.635,Low Fat,0.103856487,Baking Goods,151.305,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2251.051053
176,FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,3309.208638
177,FDS12,12.5,Low Fat,0.173275373,Baking Goods,127.6362,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,3052.086793
178,FDR39,12.5,Low Fat,0.083393481,Meat,180.6292,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,4876.388539
179,FDP12,12.5,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,1554.918304
180,DRF60,12.5,Low Fat,0.051816577,Soft Drinks,236.4564,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,5106.611202
181,FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1807.702317
182,FDF50,4.905,Low Fat,0.117808305,Canned,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2937.310192
183,FDG28,9.285,Regular,0.049270974,Frozen Foods,243.9144,OUT035,2004,Small,Tier 2,Supermarket Type1,15,3717.501847
184,NCE19,8.97,Low Fat,0.093540749,Household,55.4956,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,880.0437701
185,NCM53,18.75,Low Fat,0.087105823,Health and Hygiene,108.228,OUT010,1998,Medium,Tier 3,Grocery Store,21,287.6495512
186,NCN18,8.895,Low Fat,0,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1646.684569
187,FDF32,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,15,3367.299327
188,FDF11,10.195,Regular,0.01761655,Starchy Foods,239.4538,OUT013,1987,High,Tier 3,Supermarket Type1,32,3462.305314
189,DRI59,9.5,Low Fat,0.040898157,Hard Drinks,225.2088,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,3750.307089
190,NCG54,12.1,Low Fat,0.079791176,Household,169.5106,OUT035,2004,Small,Tier 2,Supermarket Type1,15,3142.885799
191,FDM44,12.5,Low Fat,0.031049674,Fruits and Vegetables,101.399,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1548.311143
192,FDT57,15.2,Low Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2532.205268
193,FDV24,5.635,Low Fat,0.103272336,Baking Goods,151.205,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2585.412369
194,FDI50,12.5,Regular,0.054001526,Canned,227.8352,OUT019,1985,Small,Tier 1,Grocery Store,34,677.7540532
195,FDS09,8.895,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,15,933.4647016
196,NCC31,12.5,Low Fat,0.019774239,Household,154.5972,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,4060.744891
197,FDQ07,12.5,Regular,0.153038134,Fruits and Vegetables,219.0456,OUT019,1985,Small,Tier 1,Grocery Store,34,492.9121057
198,FDC22,6.89,Regular,0.13720009,Snack Foods,191.882,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,3340.690305
199,FDZ56,16.25,Low Fat,0.02573698,Fruits and Vegetables,169.3474,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2603.950893
200,FDZ40,12.5,Low Fat,0.070354806,Frozen Foods,53.9298,OUT019,1985,Small,Tier 1,Grocery Store,34,173.4558847
201,FDS46,12.5,Regular,0.047028483,Snack Foods,118.3782,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2771.355501
202,DRD24,13.85,Low Fat,0.030857538,Soft Drinks,140.6154,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1849.619164
203,FDV45,16.75,Low Fat,0.045302246,Snack Foods,189.1556,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,3157.780559
