Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO58,OUT017,2681.647826
FDI50,OUT017,677.7540532
FDO58,OUT045,2681.647826
FDX08,OUT013,2667.262449
NCK17,OUT010,141.5739173
FDF39,OUT035,3915.688573
FDU45,OUT010,2231.472356
NCJ18,OUT018,1687.857429
DRC27,OUT019,3902.239565
DRC25,OUT035,1592.874746
FDU59,OUT035,2415.283497
FDU28,OUT035,3081.386628
NCP30,OUT046,620.2583418
FDB39,OUT018,901.5965451
FDE41,OUT013,1419.171423
DRH11,OUT010,985.9407409
FDA58,OUT045,3475.015802
FDU50,OUT046,1624.808974
FDM34,OUT013,2219.418692
FDM44,OUT027,1548.311143
FDR39,OUT045,4876.388539
FDM25,OUT045,2622.173255
FDQ49,OUT049,2609.471787
DRH25,OUT018,801.8193932
FDM09,OUT027,468.3038514
FDL44,OUT019,506.2593711
NCR42,OUT018,141.346928
DRL59,OUT046,806.7869025
FDX43,OUT013,2586.692921
DRK47,OUT010,3399.419536
FDU48,OUT018,1597.025173
FDY12,OUT045,792.7629697
NCN43,OUT018,1662.658869
NCM55,OUT018,4231.200645
FDQ21,OUT027,2960.857042
FDX13,OUT035,672.4498344
NCK30,OUT027,5188.973127
FDG20,OUT049,2440.574803
DRG27,OUT017,727.3786089
FDY14,OUT018,3743.793334
FDP59,OUT035,1572.024681
FDU60,OUT017,2693.357938
NCC18,OUT019,540.8270777
DRJ39,OUT017,4295.776078
FDS07,OUT049,3120.585007
FDM08,OUT027,5173.489722
FDP51,OUT045,1879.821655
FDU16,OUT035,1337.249594
FDH12,OUT013,1653.930228
DRE48,OUT010,521.0124968
NCL42,OUT027,4108.340502
